station_id,city,country,latitude,longitude,pm25,status
DE-BE-0012,Berlin,DE,52.520008,13.404954,11.4,active
DE-HH-0031,Hamburg,DE,53.551086,9.993682,9.8,active
DE-MU-0007,Munich,DE,48.135125,11.581981,13.1,active
AT-VI-0003,Vienna,AT,48.208176,16.373819,14.6,active
CH-ZH-0021,Zurich,CH,47.376887,8.541694,8.2,active
FR-PA-0044,Paris,FR,48.856613,2.352222,16.9,active
NL-AM-0009,Amsterdam,NL,52.367573,4.904138,10.3,active
BE-BR-0015,Brussels,BE,50.850346,4.351721,12.7,active
CZ-PR-0002,Prague,CZ,50.075539,14.437800,15.2,active
PL-WA-0018,Warsaw,PL,52.229675,21.012230,18.4,active
IT-MI-0027,Milan,IT,45.464203,9.189982,21.8,active
ES-MA-0005,Madrid,ES,40.416775,-3.703790,13.9,active
PT-LI-0011,Lisbon,PT,38.722252,-9.139337,10.1,active
SE-ST-0004,Stockholm,SE,59.329323,18.068581,6.4,active
DK-CO-0013,Copenhagen,DK,55.676098,12.568337,9.1,active
NO-OS-0006,Oslo,NO,59.913868,10.752245,7.3,active
FI-HE-0008,Helsinki,FI,60.169857,24.938379,6.9,active
IE-DU-0010,Dublin,IE,53.349805,-6.260310,8.7,active
HU-BU-0019,Budapest,HU,47.497913,19.040236,17.5,active
GR-AT-0022,Athens,GR,37.983810,23.727539,19.3,active
RO-BU-0025,Bucharest,RO,44.426765,26.102538,20.6,decommissioned
